Shooter ID,Shooter position,Defender ID,Defender position,Defend Success,Shooter Cluster,Defender Cluster
202704,PG,201952,PG,0,3,1
202704,PG,203471,PG,0,3,1
203471,PG,202704,PG,0,1,3
203471,PG,2581,PG,0,1,1
203471,PG,2581,PG,0,1,1
203471,PG,2581,PG,0,1,1
2581,PG,203471,PG,0,1,1
201952,PG,2581,PG,0,1,1
201952,PG,2581,PG,0,1,1
201952,PG,202704,PG,0,1,3
203471,PG,2581,PG,0,1,1
203471,PG,2581,PG,0,1,1
203471,PG,202704,PG,0,1,3
201952,PG,202704,PG,0,1,3
201952,PG,202704,PG,1,1,3
201952,PG,202704,PG,1,1,3
201952,PG,202704,PG,1,1,3
2581,PG,201952,PG,1,1,1
2581,PG,201952,PG,1,1,1
2581,PG,201952,PG,1,1,1
202704,PG,201952,PG,1,3,1
201952,PG,202704,PG,1,1,3
201952,PG,202704,PG,1,1,3
201952,PG,202704,PG,1,1,3
201952,PG,202704,PG,1,1,3
202704,PG,201952,PG,1,3,1
201952,PG,202704,PG,1,1,3
203471,PG,2581,PG,1,1,1
203471,PG,2581,PG,1,1,1
203471,PG,2581,PG,1,1,1
2581,PG,201952,PG,1,1,1
202704,PG,203471,PG,1,3,1
201565,PG,2590,PG,0,1,1
2590,PG,201565,PG,0,1,1
2590,PG,201565,PG,0,1,1
201166,PG,2590,PG,0,4,1
2590,PG,201565,PG,0,1,1
201565,PG,2590,PG,0,1,1
203521,PG,201565,PG,0,4,1
201565,PG,2590,PG,0,1,1
201166,PG,203521,PG,0,4,4
203521,PG,201166,PG,0,4,4
201166,PG,203521,PG,0,4,4
2590,PG,201565,PG,0,1,1
201565,PG,2590,PG,0,1,1
201565,PG,203521,PG,0,1,4
203521,PG,201565,PG,0,4,1
201565,PG,2590,PG,1,1,1
201565,PG,2590,PG,1,1,1
2590,PG,201166,PG,1,1,4
203521,PG,201166,PG,1,4,4
201166,PG,203521,PG,1,4,4
2590,PG,201565,PG,1,1,1
2590,PG,201565,PG,1,1,1
201565,PG,203521,PG,1,1,4
201565,PG,203521,PG,1,1,4
201565,PG,2590,PG,1,1,1
2590,PG,201565,PG,1,1,1
201565,PG,2590,PG,1,1,1
203521,PG,201166,PG,1,4,4
201166,PG,203521,PG,1,4,4
203521,PG,201166,PG,1,4,4
201166,PG,203521,PG,1,4,4
201166,PG,203521,PG,1,4,4
201166,PG,203521,PG,1,4,4
201166,PG,203521,PG,1,4,4
203521,PG,201166,PG,1,4,4
201565,PG,2590,PG,1,1,1
201565,PG,203521,PG,1,1,4
203521,PG,201565,PG,1,4,1
201565,PG,203521,PG,1,1,4
201939,PG,202397,PG,0,3,0
201939,PG,202397,PG,0,3,0
201939,PG,202397,PG,0,3,0
202397,PG,201939,PG,0,0,3
201939,PG,202397,PG,0,3,0
202397,PG,201939,PG,0,0,3
201939,PG,202397,PG,0,3,0
202397,PG,201939,PG,0,0,3
202397,PG,201939,PG,0,0,3
201939,PG,202397,PG,0,3,0
201939,PG,202397,PG,0,3,0
201939,PG,202397,PG,1,3,0
201939,PG,202397,PG,1,3,0
202397,PG,201939,PG,1,0,3
201939,PG,202397,PG,1,3,0
201939,PG,202397,PG,1,3,0
202322,PG,203901,PG,0,0,2
202322,PG,203901,PG,0,0,2
202322,PG,203901,PG,0,0,2
203901,PG,202322,PG,0,2,0
203901,PG,201196,PG,0,2,3
203901,PG,202322,PG,0,2,0
203901,PG,202322,PG,0,2,0
202322,PG,203901,PG,0,0,2
203901,PG,202322,PG,1,2,0
202322,PG,203901,PG,1,0,2
202322,PG,203901,PG,1,0,2
203901,PG,202322,PG,1,2,0
203901,PG,202322,PG,1,2,0
203901,PG,202322,PG,1,2,0
202738,PG,204456,PG,0,3,2
202738,PG,204456,PG,0,3,2
