Shooter ID,Shooter position,Defender ID,Defend Success,Shooter Cluster
202704,PG,201952,0,3
201952,PG,203083,0,1
202704,PG,203471,0,3
203471,PG,202704,0,1
203471,PG,2581,0,1
203471,PG,2581,0,1
203471,PG,2581,0,1
2581,PG,203471,0,1
201952,PG,101141,0,1
201952,PG,2581,0,1
201952,PG,2581,0,1
201952,PG,202704,0,1
202704,PG,200794,0,3
203471,PG,203484,0,1
202704,PG,200794,0,3
203471,PG,2581,0,1
203471,PG,2581,0,1
203471,PG,202704,0,1
201952,PG,202694,0,1
201952,PG,202704,0,1
201952,PG,202704,1,1
201952,PG,202704,1,1
201952,PG,202704,1,1
203471,PG,202694,1,1
203471,PG,1626169,1,1
2581,PG,203934,1,1
2581,PG,201952,1,1
2581,PG,201952,1,1
2581,PG,201952,1,1
203471,PG,203484,1,1
202704,PG,201952,1,3
201952,PG,202704,1,1
201952,PG,202704,1,1
201952,PG,202704,1,1
201952,PG,202704,1,1
202704,PG,201952,1,3
201952,PG,202704,1,1
203471,PG,2581,1,1
203471,PG,2581,1,1
203471,PG,2581,1,1
2581,PG,201952,1,1
202704,PG,203471,1,3
202704,PG,203118,1,3
202704,PG,200794,1,3
202704,PG,200794,1,3
201952,PG,203083,1,1
2590,PG,202703,0,1
201565,PG,202389,0,1
201565,PG,2590,0,1
2590,PG,201565,0,1
2590,PG,201565,0,1
201166,PG,2590,0,4
2590,PG,201565,0,1
201565,PG,2590,0,1
203521,PG,201565,0,4
201565,PG,2590,0,1
201565,PG,2747,0,1
201565,PG,202389,0,1
201166,PG,203521,0,4
203521,PG,201166,0,4
201166,PG,203521,0,4
2590,PG,202734,0,1
2590,PG,201149,0,1
2590,PG,201565,0,1
201565,PG,2590,0,1
201565,PG,203521,0,1
203521,PG,201565,0,4
201565,PG,202389,1,1
201565,PG,202389,1,1
201565,PG,2590,1,1
201565,PG,2590,1,1
2590,PG,202710,1,1
2590,PG,201166,1,1
203521,PG,201166,1,4
201166,PG,203521,1,4
201565,PG,203099,1,1
201565,PG,202389,1,1
201565,PG,201567,1,1
2590,PG,201565,1,1
2590,PG,201565,1,1
201565,PG,203521,1,1
201565,PG,203521,1,1
201565,PG,2590,1,1
2590,PG,201565,1,1
201565,PG,2590,1,1
203521,PG,201166,1,4
201166,PG,203521,1,4
203521,PG,201166,1,4
201166,PG,203521,1,4
201166,PG,203521,1,4
201166,PG,203521,1,4
2590,PG,201149,1,1
201166,PG,203521,1,4
203521,PG,201166,1,4
201565,PG,2590,1,1
2590,PG,203503,1,1
201565,PG,203521,1,1
203521,PG,201565,1,4
2590,PG,202710,1,1
201565,PG,203521,1,1
201939,PG,101126,0,3
201939,PG,101126,0,3
201939,PG,202397,0,3
201939,PG,202397,0,3
201939,PG,202397,0,3
201939,PG,2570,0,3
202397,PG,201939,0,0
201939,PG,202397,0,3
201939,PG,201582,0,3
202397,PG,201939,0,0
202397,PG,203084,0,0
202397,PG,203084,0,0
201939,PG,202397,0,3
202397,PG,201939,0,0
201939,PG,202087,0,3
201939,PG,201569,0,3
201939,PG,101126,0,3
202397,PG,201939,0,0
201939,PG,202397,0,3
202397,PG,2738,0,0
201939,PG,202397,0,3
2733,PG,201569,0,4
2733,PG,101126,0,4
2733,PG,101126,0,4
201939,PG,101126,1,3
201939,PG,203076,1,3
201939,PG,201582,1,3
201939,PG,202397,1,3
202397,PG,2571,1,0
202397,PG,2571,1,0
201939,PG,101126,1,3
201939,PG,202397,1,3
201939,PG,201583,1,3
201939,PG,201967,1,3
202397,PG,201939,1,0
201939,PG,202397,1,3
201939,PG,201583,1,3
202397,PG,2571,1,0
2733,PG,201582,1,4
2733,PG,202087,1,4
2733,PG,202087,1,4
201939,PG,202397,1,3
201939,PG,101126,1,3
202397,PG,2571,1,0
202322,PG,203901,0,0
202322,PG,203901,0,0
202322,PG,203901,0,0
203901,PG,203078,0,2
203901,PG,202322,0,2
203901,PG,201196,0,2
203901,PG,202322,0,2
202322,PG,203932,0,0
203901,PG,202322,0,2
202322,PG,203095,0,0
202322,PG,203506,0,0
202322,PG,203901,0,0
203901,PG,202322,1,2
203901,PG,101162,1,2
202322,PG,201228,1,0
201196,PG,201228,1,3
